EGFR|ENST00000344576|P00533;Q504U8	eefb82c300cf2f7489dc9bd28523c0d2	705	Pfam	PF00757	Furin-like cysteine rich region	185	338	1.9E-29	T	23-02-2023	IPR006211	Furin-like cysteine-rich domain
EGFR|ENST00000344576|P00533;Q504U8	eefb82c300cf2f7489dc9bd28523c0d2	705	Pfam	PF01030	Receptor L domain	361	480	1.1E-27	T	23-02-2023	IPR000494	Receptor L-domain
EGFR|ENST00000344576|P00533;Q504U8	eefb82c300cf2f7489dc9bd28523c0d2	705	Pfam	PF01030	Receptor L domain	57	167	1.9E-31	T	23-02-2023	IPR000494	Receptor L-domain
EGFR|ENST00000344576|P00533;Q504U8	eefb82c300cf2f7489dc9bd28523c0d2	705	Pfam	PF14843	Growth factor receptor domain IV	505	629	1.2E-44	T	23-02-2023	IPR032778	Growth factor receptor domain 4
DNMT1|ENST00000678804|P26358;K7EMU8;A0A7I2V2G5;A0A7I2YQQ0;A0A7I2V490;A0A7I2V311;A0A7I2V3F8;A0A7I2V5F1;A0A7I2V5F6;K7ELB1;K7EKC3;A0A7I2V5D0;K7EJL0;K7EIZ6;A0A7I2YQA8;K7ENQ6;K7ERQ1	86086e759c63b1b3206b7c76485be60a	1658	Pfam	PF06464	DMAP1-binding Domain	18	103	9.1E-21	T	23-02-2023	IPR010506	DMAP1-binding domain
DNMT1|ENST00000678804|P26358;K7EMU8;A0A7I2V2G5;A0A7I2YQQ0;A0A7I2V490;A0A7I2V311;A0A7I2V3F8;A0A7I2V5F1;A0A7I2V5F6;K7ELB1;K7EKC3;A0A7I2V5D0;K7EJL0;K7EIZ6;A0A7I2YQA8;K7ENQ6;K7ERQ1	86086e759c63b1b3206b7c76485be60a	1658	Pfam	PF00145	C-5 cytosine-specific DNA methylase	1140	1596	4.3E-47	T	23-02-2023	IPR001525	C-5 cytosine methyltransferase
DNMT1|ENST00000678804|P26358;K7EMU8;A0A7I2V2G5;A0A7I2YQQ0;A0A7I2V490;A0A7I2V311;A0A7I2V3F8;A0A7I2V5F1;A0A7I2V5F6;K7ELB1;K7EKC3;A0A7I2V5D0;K7EJL0;K7EIZ6;A0A7I2YQA8;K7ENQ6;K7ERQ1	86086e759c63b1b3206b7c76485be60a	1658	Pfam	PF02008	CXXC zinc finger domain	646	691	1.8E-14	T	23-02-2023	IPR002857	Zinc finger, CXXC-type
DNMT1|ENST00000678804|P26358;K7EMU8;A0A7I2V2G5;A0A7I2YQQ0;A0A7I2V490;A0A7I2V311;A0A7I2V3F8;A0A7I2V5F1;A0A7I2V5F6;K7ELB1;K7EKC3;A0A7I2V5D0;K7EJL0;K7EIZ6;A0A7I2YQA8;K7ENQ6;K7ERQ1	86086e759c63b1b3206b7c76485be60a	1658	Pfam	PF01426	BAH domain	932	1100	7.4E-23	T	23-02-2023	IPR001025	Bromo adjacent homology (BAH) domain
DNMT1|ENST00000678804|P26358;K7EMU8;A0A7I2V2G5;A0A7I2YQQ0;A0A7I2V490;A0A7I2V311;A0A7I2V3F8;A0A7I2V5F1;A0A7I2V5F6;K7ELB1;K7EKC3;A0A7I2V5D0;K7EJL0;K7EIZ6;A0A7I2YQA8;K7ENQ6;K7ERQ1	86086e759c63b1b3206b7c76485be60a	1658	Pfam	PF01426	BAH domain	755	879	9.2E-22	T	23-02-2023	IPR001025	Bromo adjacent homology (BAH) domain
DNMT1|ENST00000678804|P26358;K7EMU8;A0A7I2V2G5;A0A7I2YQQ0;A0A7I2V490;A0A7I2V311;A0A7I2V3F8;A0A7I2V5F1;A0A7I2V5F6;K7ELB1;K7EKC3;A0A7I2V5D0;K7EJL0;K7EIZ6;A0A7I2YQA8;K7ENQ6;K7ERQ1	86086e759c63b1b3206b7c76485be60a	1658	Pfam	PF12047	Cytosine specific DNA methyltransferase replication foci domain	400	533	1.3E-46	T	23-02-2023	IPR022702	DNA (cytosine-5)-methyltransferase 1, replication foci domain
